Código;Espacialidades;Índice de Gini 2000;Índice de Gini 2010;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;% de pobres 2010
2500205;Aguiar;0,5;0,65;0,597;0,632;0,753;0,447;38,4
1700301;Aguiarnópolis;0,62;0,48;0,657;0,618;0,804;0,571;22,35
3101102;Aimorés;0,56;0,53;0,684;0,685;0,81;0,576;14,09
2900603;Aiquara;0,55;0,44;0,583;0,573;0,733;0,471;27,11
2300408;Aiuaba;0,65;0,53;0,569;0,518;0,749;0,474;52,55
3101201;Aiuruoca;0,63;0,49;0,668;0,677;0,871;0,505;11,7
4300208;Ajuricaba;0,45;0,47;0,753;0,763;0,85;0,658;3,62
3101300;Alagoa;0,53;0,42;0,649;0,634;0,832;0,518;17,57
2500304;Alagoa Grande;0,55;0,53;0,582;0,576;0,797;0,43;39,36
2500403;Alagoa Nova;0,6;0,54;0,576;0,567;0,749;0,451;43,82
2500502;Alagoinha;0,53;0,52;0,595;0,574;0,795;0,462;42,05
2600609;Alagoinha;0,56;0,49;0,599;0,569;0,801;0,472;37,1
2200251;Alagoinha do Piauí;0,53;0,51;0,531;0,535;0,716;0,391;48,56
2900702;Alagoinhas;0,59;0,55;0,683;0,681;0,79;0,592;19,42
3500758;Alambari;0,49;0,44;0,712;0,682;0,805;0,658;7,61
3101409;Albertina;0,39;0,35;0,673;0,684;0,813;0,549;3,02
2100204;Alcântara;0,62;0,59;0,573;0,525;0,753;0,475;54,48
2300507;Alcântaras;0,54;0,46;0,6;0,549;0,751;0,524;37,34
2500536;Alcantil;0,47;0,48;0,578;0,55;0,765;0,458;41,92
5000252;Alcinópolis;0,46;0,54;0,711;0,733;0,858;0,572;4,67
2900801;Alcobaça;0,54;0,53;0,608;0,611;0,771;0,476;32,69
2100303;Aldeias Altas;0,54;0,59;0,513;0,5;0,72;0,374;60,07
4300307;Alecrim;0,5;0,49;0,672;0,683;0,852;0,522;16,76
3200201;Alegre;0,57;0,52;0,721;0,708;0,839;0,63;13,08
4300406;Alegrete;0,59;0,52;0,74;0,72;0,849;0,664;9,47
2200277;Alegrete do Piauí;0,55;0,5;0,585;0,564;0,749;0,475;39,16
4300455;Alegria;0,59;0,53;0,695;0,717;0,818;0,572;12,57
3101508;Além Paraíba;0,56;0,5;0,726;0,713;0,857;0,626;9,22
1500404;Alenquer;0,56;0,58;0,564;0,529;0,779;0,436;52,34
2400505;Alexandria;0,56;0,53;0,606;0,581;0,779;0,491;39,4
5200308;Alexânia;0,54;0,46;0,682;0,664;0,841;0,568;13,88
3101607;Alfenas;0,57;0,51;0,761;0,737;0,841;0,712;5,53
