Código;Espacialidades;Índice de Gini 2000;Índice de Gini 2010;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;% de pobres 2010
4107207;Dois Vizinhos;0,53;0,47;0,767;0,747;0,85;0,711;4,62
3514205;Dolcinópolis;0,48;0,36;0,742;0,699;0,825;0,709;2,37
5103601;Dom Aquino;0,52;0,51;0,69;0,687;0,806;0,593;13,08
2910107;Dom Basílio;0,47;0,46;0,591;0,547;0,783;0,482;40,89
3122470;Dom Bosco;0,53;0,42;0,673;0,627;0,815;0,597;18,86
3122504;Dom Cavati;0,57;0,44;0,688;0,66;0,784;0,63;13,21
1502939;Dom Eliseu;0,65;0,52;0,615;0,606;0,763;0,502;28,87
2203404;Dom Expedito Lopes;0,67;0,52;0,601;0,583;0,762;0,488;34,92
4306502;Dom Feliciano;0,48;0,48;0,587;0,633;0,818;0,39;22,12
3201902;Domingos Martins;0,57;0,48;0,669;0,68;0,833;0,528;12,83
2203420;Domingos Mourão;0,58;0,56;0,55;0,547;0,755;0,403;49,67
2203453;Dom Inocêncio;0,53;0,54;0,549;0,498;0,756;0,439;54,71
3122603;Dom Joaquim;0,59;0,52;0,622;0,61;0,819;0,482;28,58
2910206;Dom Macedo Costa;0,48;0,55;0,632;0,598;0,795;0,531;36,54
4306601;Dom Pedrito;0,61;0,54;0,708;0,715;0,848;0,585;11,38
2103802;Dom Pedro;0,58;0,48;0,622;0,582;0,759;0,545;33,56
4306551;Dom Pedro de Alcântara;0,46;0,43;0,691;0,697;0,82;0,577;7,75
3122702;Dom Silvério;0,55;0,42;0,709;0,661;0,847;0,636;8,82
3122801;Dom Viçoso;0,42;0,41;0,687;0,617;0,819;0,641;19,91
4205100;Dona Emma;0,62;0,46;0,742;0,762;0,862;0,622;4,19
3122900;Dona Eusébia;0,49;0,41;0,701;0,684;0,841;0,598;5,57
4306700;Dona Francisca;0,51;0,46;0,697;0,718;0,831;0,568;8,83
2505709;Dona Inês;0,61;0,54;0,545;0,524;0,69;0,447;54,57
3123007;Dores de Campos;0,47;0,4;0,686;0,671;0,823;0,585;6,64
3123106;Dores de Guanhães;0,54;0,49;0,636;0,612;0,821;0,512;27,63
3123205;Dores do Indaiá;0,55;0,47;0,719;0,71;0,84;0,623;6,62
3202009;Dores do Rio Preto;0,53;0,49;0,654;0,635;0,813;0,542;21,22
3123304;Dores do Turvo;0,61;0,46;0,629;0,613;0,829;0,49;28,52
3123403;Doresópolis;0,33;0,39;0,692;0,652;0,869;0,585;11,8
2605152;Dormentes;0,57;0,47;0,589;0,558;0,741;0,495;37,74
4107256;Douradina;0,53;0,43;0,724;0,721;0,818;0,644;3,5
5003504;Douradina;0,65;0,61;0,699;0,706;0,809;0,597;19,72
3514304;Dourado;0,46;0,37;0,738;0,718;0,811;0,689;1,93
3123502;Douradoquara;0,44;0,49;0,706;0,704;0,847;0,591;4,33
5003702;Dourados;0,61;0,52;0,747;0,753;0,843;0,657;5,96
4107306;Doutor Camargo;0,51;0,39;0,746;0,704;0,839;0,702;5,92
4306734;Doutor Maurício Cardoso;0,44;0,47;0,706;0,707;0,84;0,593;10,68
4205159;Doutor Pedrinho;0,4;0,34;0,716;0,714;0,843;0,609;2,83
4306759;Doutor Ricardo;0,47;0,38;0,724;0,749;0,855;0,593;3,37
2403202;Doutor Severiano;0,64;0,49;0,621;0,567;0,747;0,566;37,37
4128633;Doutor Ulysses;0,54;0,49;0,546;0,57;0,791;0,362;38,11
5207253;Doverlândia;0,55;0,45;0,668;0,684;0,84;0,518;8,41
3514403;Dracena;0,59;0,44;0,776;0,752;0,842;0,737;2,4
3514502;Duartina;0,5;0,43;0,748;0,716;0,837;0,698;4,24
3301603;Duas Barras;0,51;0,44;0,659;0,677;0,79;0,534;7,93
2505808;Duas Estradas;0,55;0,51;0,603;0,565;0,795;0,488;41,23
1707306;Dueré;0,56;0,56;0,679;0,654;0,846;0,566;22,25
3514601;Dumont;0,48;0,39;0,744;0,72;0,849;0,674;0,85
2103901;Duque Bacelar;0,57;0,6;0,533;0,485;0,693;0,451;63,58
3301702;Duque de Caxias;0,5;0,46;0,711;0,692;0,833;0,624;9,88
3123528;Durandé;0,54;0,43;0,645;0,626;0,842;0,508;18,62
3514700;Echaporã;0,52;0,53;0,745;0,719;0,834;0,69;6,25
3202108;Ecoporanga;0,61;0,49;0,662;0,631;0,819;0,562;20,65
5207352;Edealina;0,57;0,5;0,702;0,722;0,808;0,594;6,81
5207402;Edéia;0,59;0,53;0,739;0,755;0,826;0,648;2,8
1301407;Eirunepé;0,64;0,62;0,563;0,548;0,756;0,431;55,41
3514809;Eldorado;0,6;0,49;0,691;0,633;0,847;0,615;23,26
5003751;Eldorado;0,52;0,49;0,684;0,674;0,824;0,577;12,39
1502954;Eldorado dos Carajás;0,68;0,57;0,56;0,572;0,757;0,405;44,12
4306767;Eldorado do Sul;0,54;0,46;0,717;0,717;0,844;0,609;6,99
2203503;Elesbão Veloso;0,49;0,48;0,58;0,573;0,758;0,45;33,64
3514908;Elias Fausto;0,5;0,42;0,695;0,701;0,822;0,583;4,87
2203602;Eliseu Martins;0,55;0,57;0,595;0,616;0,742;0,462;38,25
3514924;Elisiário;0,37;0,33;0,747;0,711;0,825;0,712;1,4
2910305;Elísio Medrado;0,52;0,5;0,623;0,59;0,777;0,527;35,13
3123601;Elói Mendes;0,53;0,46;0,685;0,688;0,838;0,558;10,46
2505907;Emas;0,62;0,46;0,595;0,554;0,773;0,492;40,16
3514957;Embaúba;0,48;0,36;0,73;0,723;0,84;0,641;1,96
3515004;Embu;0,45;0,45;0,735;0,7;0,839;0,676;7,05
3515103;Embu-Guaçu;0,53;0,5;0,749;0,713;0,834;0,708;8,98
3515129;Emilianópolis;0,76;0,38;0,727;0,69;0,805;0,691;4,81
4306809;Encantado;0,51;0,42;0,767;0,764;0,858;0,687;2,21
2403301;Encanto;0,5;0,47;0,629;0,589;0,787;0,536;31,52
2910404;Encruzilhada;0,45;0,49;0,544;0,533;0,754;0,4;45,03
4306908;Encruzilhada do Sul;0,58;0,52;0,657;0,677;0,875;0,478;16,24
4107405;Enéas Marques;0,62;0,6;0,752;0,767;0,835;0,664;10,06
4107504;Engenheiro Beltrão;0,59;0,43;0,73;0,701;0,82;0,677;8,41
3123700;Engenheiro Caldas;0,53;0,49;0,644;0,632;0,815;0,518;21,72
3515152;Engenheiro Coelho;0,51;0,45;0,732;0,72;0,815;0,668;5,92
3123809;Engenheiro Navarro;0,44;0,43;0,655;0,599;0,791;0,594;22,65
3301801;Engenheiro Paulo de Frontin;0,51;0,45;0,722;0,674;0,805;0,694;11,7
4306924;Engenho Velho;0,49;0,55;0,717;0,735;0,821;0,611;21,37
3123858;Entre Folhas;0,44;0,47;0,634;0,617;0,792;0,521;23,07
4306932;Entre-Ijuís;0,52;0,47;0,68;0,692;0,829;0,548;13,51
2910503;Entre Rios;0,59;0,6;0,615;0,602;0,785;0,492;39,75
4205175;Entre Rios;0,63;0,44;0,657;0,638;0,808;0,55;17,87
3123908;Entre Rios de Minas;0,56;0,5;0,672;0,673;0,802;0,563;15,36
4107538;Entre Rios do Oeste;0,5;0,5;0,761;0,778;0,826;0,686;3,07
4306957;Entre Rios do Sul;0,67;0,45;0,703;0,709;0,857;0,572;10,32
1301506;Envira;0,63;0,64;0,509;0,521;0,727;0,349;57,67
1200252;Epitaciolândia;0,57;0,6;0,653;0,654;0,771;0,553;29,44
2403400;Equador;0,47;0,5;0,623;0,578;0,765;0,546;34,24
4306973;Erebango;0,46;0,47;0,712;0,689;0,837;0,626;10,02
4307005;Erechim;0,52;0,48;0,776;0,782;0,833;0,716;3,29
2304277;Ererê;0,55;0,46;0,61;0,551;0,754;0,547;39,25
2900504;Érico Cardoso;0,6;0,49;0,584;0,558;0,758;0,471;36,75
4205191;Ermo;0,47;0,4;0,726;0,708;0,808;0,67;4,74
4307054;Ernestina;0,54;0,43;0,716;0,703;0,854;0,612;6,24
4307203;Erval Grande;0,63;0,5;0,681;0,713;0,885;0,501;10,37
3124005;Ervália;0,67;0,46;0,625;0,64;0,828;0,46;17,66
4307302;Erval Seco;0,57;0,52;0,685;0,666;0,821;0,589;21,46
4205209;Erval Velho;0,49;0,47;0,723;0,736;0,868;0,592;4,29
2605202;Escada;0,51;0,46;0,632;0,594;0,781;0,543;25,31
4307401;Esmeralda;0,53;0,45;0,68;0,669;0,827;0,569;12,73
3124104;Esmeraldas;0,59;0,43;0,671;0,649;0,822;0,567;14,04
3124203;Espera Feliz;0,48;0,5;0,663;0,663;0,846;0,52;17,27
2506004;Esperança;0,57;0,54;0,623;0,598;0,767;0,526;35,6
4307450;Esperança do Sul;0,48;0,43;0,661;0,665;0,788;0,55;16,09
4107520;Esperança Nova;0,43;0,39;0,689;0,69;0,799;0,594;7,11
1707405;Esperantina;0,68;0,55;0,57;0,495;0,715;0,524;58,86
2203701;Esperantina;0,58;0,51;0,605;0,579;0,769;0,497;37,61
2104008;Esperantinópolis;0,59;0,59;0,586;0,561;0,713;0,503;46,89
4107546;Espigão Alto do Iguaçu;0,67;0,57;0,636;0,632;0,781;0,521;31,81
1100098;Espigão D'Oeste;0,63;0,52;0,672;0,691;0,819;0,536;13,86
3124302;Espinosa;0,58;0,45;0,627;0,582;0,804;0,526;29,03
2403509;Espírito Santo;0,57;0,54;0,558;0,549;0,748;0,423;46,01
3124401;Espírito Santo do Dourado;0,42;0,37;0,685;0,66;0,847;0,576;8,25
3515186;Espírito Santo do Pinhal;0,48;0,57;0,787;0,784;0,872;0,712;2,94
3515194;Espírito Santo do Turvo;0,46;0,38;0,696;0,675;0,819;0,609;3
2910602;Esplanada;0,61;0,57;0,589;0,589;0,74;0,469;39,21
4307500;Espumoso;0,56;0,49;0,765;0,747;0,884;0,677;5,14
4307559;Estação;0,5;0,46;0,753;0,752;0,843;0,674;1,78
2802106;Estância;0,59;0,52;0,647;0,627;0,782;0,552;27,5
4307609;Estância Velha;0,45;0,42;0,757;0,749;0,887;0,652;2,21
4307708;Esteio;0,49;0,48;0,754;0,769;0,843;0,662;4,53
3124500;Estiva;0,51;0,39;0,691;0,679;0,848;0,573;4,87
3557303;Estiva Gerbi;0,4;0,41;0,74;0,716;0,815;0,695;1,91
2104057;Estreito;0,62;0,56;0,659;0,666;0,8;0,536;22,67
4307807;Estrela;0,46;0,42;0,767;0,776;0,85;0,684;1,23
3124609;Estrela Dalva;0,68;0,59;0,71;0,719;0,867;0,574;12,53
2702553;Estrela de Alagoas;0,61;0,51;0,534;0,515;0,72;0,41;52,35
3515202;Estrela D'Oeste;0,48;0,39;0,76;0,712;0,873;0,705;4,95
3124708;Estrela do Indaiá;0,51;0,46;0,676;0,679;0,875;0,521;8,82
3515301;Estrela do Norte;0,53;0,43;0,74;0,693;0,818;0,714;3,82
5207501;Estrela do Norte;0,51;0,48;0,707;0,703;0,848;0,593;7,41
3124807;Estrela do Sul;0,46;0,44;0,696;0,694;0,84;0,579;5,45
4307815;Estrela Velha;0,65;0,49;0,679;0,707;0,792;0,56;12,96
2910701;Euclides da Cunha;0,58;0,55;0,567;0,565;0,749;0,43;43,14
3515350;Euclides da Cunha Paulista;0,5;0,45;0,704;0,663;0,802;0,655;14,46
4307831;Eugênio de Castro;0,58;0,5;0,712;0,697;0,885;0,584;12,26
3124906;Eugenópolis;0,6;0,44;0,675;0,66;0,846;0,551;15,77
2910727;Eunápolis;0,63;0,57;0,677;0,687;0,791;0,572;17,93
2304285;Eusébio;0,59;0,65;0,701;0,7;0,794;0,621;22,03
3125002;Ewbank da Câmara;0,43;0,37;0,676;0,625;0,823;0,601;8,51
3125101;Extrema;0,49;0,4;0,732;0,729;0,849;0,633;2,36
2403608;Extremoz;0,55;0,54;0,66;0,64;0,808;0,555;23,67
2605301;Exu;0,63;0,57;0,576;0,543;0,775;0,454;52,25
2506103;Fagundes;0,58;0,52;0,56;0,543;0,749;0,432;45,51
4307864;Fagundes Varela;0,32;0,35;0,763;0,773;0,852;0,674;0,63
5207535;Faina;0,57;0,44;0,65;0,644;0,799;0,534;14,35
3125200;Fama;0,58;0,45;0,717;0,7;0,863;0,61;7,5
3125309;Faria Lemos;0,52;0,51;0,687;0,678;0,8;0,598;13
2304301;Farias Brito;0,57;0,54;0,633;0,541;0,774;0,605;48,78
1503002;Faro;0,54;0,56;0,563;0,501;0,756;0,47;55,62
4107553;Farol;0,61;0,49;0,715;0,671;0,818;0,665;13,49
4307906;Farroupilha;0,47;0,43;0,777;0,783;0,861;0,696;1,37
3515400;Fartura;0,54;0,43;0,732;0,699;0,867;0,648;6,9
2203750;Fartura do Piauí;0,59;0,52;0,548;0,506;0,738;0,441;52,85
1707553;Fátima;0,65;0,56;0,697;0,653;0,813;0,638;22,14
2910750;Fátima;0,55;0,53;0,559;0,554;0,686;0,459;46,32
5003801;Fátima do Sul;0,57;0,52;0,714;0,719;0,815;0,621;7,62
4107603;Faxinal;0,6;0,48;0,687;0,697;0,796;0,584;7,94
4205308;Faxinal dos Guedes;0,61;0,49;0,758;0,746;0,863;0,676;4,67
4308003;Faxinal do Soturno;0,5;0,47;0,72;0,732;0,854;0,597;6,92
4308052;Faxinalzinho;0,59;0,43;0,666;0,646;0,801;0,571;17,32
5207600;Fazenda Nova;0,51;0,45;0,685;0,671;0,831;0,576;11,14
4107652;Fazenda Rio Grande;0,43;0,46;0,72;0,713;0,847;0,617;5,61
4308078;Fazenda Vilanova;0,5;0,44;0,698;0,726;0,841;0,557;2,45
1200302;Feijó;0,68;0,68;0,539;0,559;0,723;0,388;54,93
2910776;Feira da Mata;0,59;0,54;0,588;0,527;0,763;0,505;50,82
2910800;Feira de Santana;0,61;0,6;0,712;0,71;0,82;0,619;15,8
2702603;Feira Grande;0,59;0,53;0,533;0,512;0,736;0,402;55,98
2605400;Feira Nova;0,54;0,48;0,6;0,581;0,807;0,46;33,53
2802205;Feira Nova;0,48;0,47;0,584;0,546;0,773;0,473;42,51
2104073;Feira Nova do Maranhão;0,57;0,62;0,532;0,511;0,729;0,405;59,86
3125408;Felício dos Santos;0,54;0,46;0,606;0,568;0,794;0,494;37,83
2403707;Felipe Guerra;0,5;0,48;0,636;0,582;0,768;0,575;32,1
3125606;Felisburgo;0,55;0,51;0,583;0,577;0,744;0,462;35,86
3125705;Felixlândia;0,55;0,45;0,648;0,651;0,815;0,514;12,69
4308102;Feliz;0,42;0,37;0,75;0,758;0,847;0,658;0,5
2702702;Feliz Deserto;0,43;0,49;0,565;0,55;0,708;0,462;41,07
5103700;Feliz Natal;0,61;0,46;0,692;0,737;0,819;0,548;11,93
4107702;Fênix;0,49;0,43;0,716;0,669;0,825;0,665;10,21
4107736;Fernandes Pinheiro;0,61;0,54;0,645;0,647;0,791;0,525;23,08
3125804;Fernandes Tourinho;0,49;0,42;0,646;0,608;0,807;0,55;21,27
2605459;Fernando de Noronha;0,5;0,46;0,788;0,781;0,839;0,748;2,2
2104081;Fernando Falcão;0,56;0,55;0,443;0,417;0,728;0,286;72,73
2403756;Fernando Pedroza;0,58;0,55;0,597;0,565;0,727;0,519;39,83
3515509;Fernandópolis;0,54;0,49;0,797;0,767;0,872;0,758;2,46
3515608;Fernando Prestes;0,48;0,41;0,758;0,746;0,859;0,68;0,42
3515657;Fernão;0,58;0,4;0,703;0,668;0,843;0,617;5,17
3515707;Ferraz de Vasconcelos;0,46;0,43;0,738;0,691;0,828;0,703;7,58
1600238;Ferreira Gomes;0,5;0,6;0,656;0,635;0,82;0,542;33,75
2605509;Ferreiros;0,53;0,5;0,622;0,589;0,787;0,519;30,13
3125903;Ferros;0,53;0,52;0,603;0,625;0,821;0,428;27,17
3125952;Fervedouro;0,54;0,48;0,58;0,583;0,796;0,42;31,07
4107751;Figueira;0,53;0,44;0,677;0,68;0,801;0,569;9,41
5003900;Figueirão;0,48;0,44;0,66;0,677;0,83;0,511;7,59
1707652;Figueirópolis;0,54;0,52;0,689;0,664;0,822;0,6;20,27
5103809;Figueirópolis D'Oeste;0,59;0,42;0,679;0,665;0,786;0,599;9,17
1707702;Filadélfia;0,6;0,54;0,621;0,578;0,792;0,522;38,81
2910859;Filadélfia;0,54;0,57;0,565;0,553;0,726;0,45;45,48
2910909;Firmino Alves;0,56;0,43;0,578;0,596;0,699;0,464;24,91
5207808;Firminópolis;0,54;0,42;0,732;0,681;0,838;0,688;5,32
2702801;Flexeiras;0,5;0,47;0,527;0,528;0,693;0,4;42,93
4107801;Floraí;0,48;0,43;0,745;0,739;0,853;0,656;2,39
2403806;Florânia;0,52;0,49;0,642;0,611;0,775;0,56;26,34
3515806;Flora Rica;0,46;0,4;0,727;0,668;0,796;0,723;7,92
4107850;Flor da Serra do Sul;0,53;0,46;0,682;0,68;0,833;0,56;13,89
4205357;Flor do Sertão;0,57;0,48;0,708;0,736;0,792;0,608;7,39
3515905;Floreal;0,5;0,37;0,747;0,71;0,808;0,726;2,41
2605608;Flores;0,55;0,5;0,556;0,544;0,745;0,423;42,68
4308201;Flores da Cunha;0,46;0,44;0,754;0,786;0,849;0,642;1,12
5207907;Flores de Goiás;0,64;0,63;0,597;0,583;0,799;0,457;45,17
2203800;Flores do Piauí;0,51;0,57;0,547;0,525;0,704;0,443;54,18
2605707;Floresta;0,62;0,52;0,626;0,588;0,775;0,538;35,02
4107900;Floresta;0,46;0,36;0,736;0,707;0,816;0,691;1,61
2911006;Floresta Azul;0,53;0,45;0,557;0,548;0,731;0,431;38,11
1503044;Floresta do Araguaia;0,57;0,62;0,583;0,573;0,792;0,437;46,37
2203859;Floresta do Piauí;0,49;0,51;0,538;0,53;0,753;0,391;48,47
3126000;Florestal;0,48;0,48;0,724;0,728;0,845;0,617;6,58
4108007;Florestópolis;0,4;0,34;0,701;0,682;0,807;0,625;2,83
2203909;Floriano;0,6;0,55;0,7;0,676;0,802;0,633;18,98
4308250;Floriano Peixoto;0,51;0,44;0,663;0,701;0,854;0,486;11,16
4205407;Florianópolis;0,56;0,54;0,847;0,87;0,873;0,8;1,35
4108106;Flórida;0,44;0,39;0,732;0,707;0,816;0,679;2,14
3516002;Flórida Paulista;0,51;0,41;0,715;0,702;0,807;0,646;6
3516101;Florínia;0,44;0,46;0,713;0,678;0,82;0,652;14,89
1301605;Fonte Boa;0,64;0,62;0,53;0,518;0,719;0,4;59,94
4308300;Fontoura Xavier;0,54;0,53;0,661;0,668;0,812;0,532;20,19
3126109;Formiga;0,53;0,48;0,755;0,729;0,874;0,676;4,91
4308409;Formigueiro;0,54;0,51;0,682;0,69;0,838;0,549;15,55
5208004;Formosa;0,61;0,56;0,744;0,726;0,852;0,666;12,16
2104099;Formosa da Serra Negra;0,8;0,63;0,556;0,485;0,774;0,459;62,31
4108205;Formosa do Oeste;0,5;0,41;0,723;0,692;0,836;0,652;7,28
2911105;Formosa do Rio Preto;0,8;0,6;0,618;0,576;0,763;0,536;42,96
4205431;Formosa do Sul;0,66;0,42;0,715;0,728;0,845;0,593;6,85
3126208;Formoso;0,72;0,54;0,64;0,616;0,834;0,51;30,59
5208103;Formoso;0,61;0,55;0,715;0,686;0,834;0,639;17,98
1708205;Formoso do Araguaia;0,61;0,52;0,67;0,64;0,801;0,587;22,09
4308433;Forquetinha;0,35;0,38;0,683;0,743;0,886;0,484;4,78
2304350;Forquilha;0,58;0,45;0,644;0,583;0,76;0,602;29,57
4205456;Forquilhinha;0,52;0,46;0,753;0,754;0,861;0,657;1,59
2304400;Fortaleza;0,64;0,61;0,754;0,749;0,824;0,695;12,14
3126307;Fortaleza de Minas;0,45;0,42;0,67;0,683;0,805;0,546;9,29
2104107;Fortaleza dos Nogueiras;0,63;0,53;0,616;0,566;0,773;0,534;38,76
4308458;Fortaleza dos Valos;0,66;0,62;0,756;0,779;0,837;0,663;6,5
1708254;Fortaleza do Tabocão;0,67;0,46;0,659;0,616;0,808;0,575;24,34
2304459;Fortim;0,65;0,51;0,624;0,562;0,734;0,588;39,33
2104206;Fortuna;0,63;0,56;0,58;0,558;0,706;0,494;46,79
3126406;Fortuna de Minas;0,51;0,41;0,696;0,651;0,845;0,613;10,45
4108304;Foz do Iguaçu;0,57;0,53;0,751;0,748;0,858;0,661;7,37
4108452;Foz do Jordão;0,58;0,54;0,645;0,654;0,828;0,496;19,52
4205506;Fraiburgo;0,56;0,48;0,731;0,712;0,86;0,637;9,14
3516200;Franca;0,51;0,46;0,78;0,749;0,842;0,753;3,34
2204006;Francinópolis;0,62;0,56;0,564;0,523;0,722;0,475;50,52
4108320;Francisco Alves;0,44;0,41;0,669;0,669;0,786;0,57;8,08
2204105;Francisco Ayres;0,53;0,52;0,577;0,565;0,756;0,45;39,79
3126505;Francisco Badaró;0,48;0,46;0,622;0,575;0,793;0,527;33
4108403;Francisco Beltrão;0,57;0,47;0,774;0,758;0,844;0,726;4,38
2403905;Francisco Dantas;0,52;0,5;0,606;0,582;0,732;0,523;33,49
3126604;Francisco Dumont;0,53;0,45;0,625;0,596;0,797;0,513;24,43
2204154;Francisco Macedo;0,55;0,5;0,553;0,567;0,701;0,425;37,41
3516309;Francisco Morato;0,45;0,4;0,703;0,659;0,815;0,647;9,32
3126752;Franciscópolis;0,48;0,51;0,603;0,581;0,802;0,471;35,93
3126703;Francisco Sá;0,54;0,53;0,654;0,605;0,808;0,572;31,55
2204204;Francisco Santos;0,48;0,51;0,608;0,598;0,754;0,498;34,37
3516408;Franco da Rocha;0,46;0,44;0,731;0,702;0,852;0,654;6,83
2304509;Frecheirinha;0,62;0,53;0,604;0,551;0,746;0,536;45,88
4308508;Frederico Westphalen;0,54;0,47;0,76;0,754;0,846;0,688;4,98
3126802;Frei Gaspar;0,53;0,43;0,59;0,569;0,799;0,452;30,53
3126901;Frei Inocêncio;0,56;0,46;0,648;0,624;0,779;0,559;21,44
3126950;Frei Lagonegro;0,5;0,5;0,543;0,519;0,749;0,412;50,13
2506202;Frei Martinho;0,51;0,57;0,641;0,631;0,77;0,542;29,34
2605806;Frei Miguelinho;0,55;0,46;0,576;0,575;0,758;0,438;33,96
2802304;Frei Paulo;0,62;0,48;0,589;0,623;0,768;0,428;22,1
4205555;Frei Rogério;0,52;0,51;0,682;0,664;0,812;0,588;24,7
3127008;Fronteira;0,5;0,43;0,684;0,693;0,871;0,53;4,51
3127057;Fronteira dos Vales;0,54;0,46;0,592;0,556;0,813;0,46;35
2204303;Fronteiras;0,59;0,56;0,619;0,621;0,748;0,511;31,94
3127073;Fruta de Leite;0,64;0,47;0,544;0,548;0,792;0,37;38,78
3127107;Frutal;0,56;0,47;0,73;0,73;0,865;0,615;5,28
2404002;Frutuoso Gomes;0,5;0,47;0,597;0,565;0,737;0,512;35,42
3202207;Fundão;0,54;0,49;0,718;0,708;0,839;0,623;10,94
3127206;Funilândia;0,58;0,46;0,655;0,612;0,844;0,545;20,55
3516507;Gabriel Monteiro;0,41;0,37;0,763;0,721;0,809;0,762;0,88
2506251;Gado Bravo;0,54;0,56;0,513;0,491;0,737;0,373;58,49
3516606;Gália;0,54;0,42;0,709;0,684;0,823;0,634;5,68
3127305;Galiléia;0,53;0,49;0,654;0,645;0,795;0,546;17,06
2404101;Galinhos;0,61;0,57;0,564;0,578;0,723;0,429;39,6
4205605;Galvão;0,62;0,45;0,708;0,704;0,815;0,618;11,19
2605905;Gameleira;0,52;0,46;0,602;0,541;0,759;0,532;41,67
5208152;Gameleira de Goiás;0,73;0,54;0,659;0,692;0,828;0,499;13,54
3127339;Gameleiras;0,51;0,5;0,65;0,559;0,796;0,618;43,87
2911204;Gandu;0,67;0,59;0,632;0,645;0,771;0,508;30,27
2606002;Garanhuns;0,6;0,59;0,664;0,662;0,795;0,556;26,72
2802403;Gararu;0,61;0,61;0,564;0,544;0,783;0,422;54,22
3516705;Garça;0,53;0,5;0,769;0,737;0,849;0,728;6,94
4308607;Garibaldi;0,48;0,51;0,786;0,825;0,856;0,688;1,04
4205704;Garopaba;0,49;0,45;0,753;0,737;0,868;0,668;2,96
1503077;Garrafão do Norte;0,59;0,55;0,526;0,54;0,763;0,353;49,27
4308656;Garruchos;0,54;0,52;0,671;0,657;0,833;0,553;19,53
4205803;Garuva;0,56;0,44;0,725;0,717;0,83;0,64;3,49
4205902;Gaspar;0,46;0,37;0,765;0,77;0,889;0,655;1,24
3516804;Gastão Vidigal;0,55;0,42;0,723;0,727;0,817;0,635;2,39
5103858;Gaúcha do Norte;0,57;0,67;0,615;0,658;0,847;0,418;38,53
4308706;Gaurama;0,53;0,43;0,738;0,733;0,852;0,643;5,74
2911253;Gavião;0,49;0,4;0,599;0,566;0,747;0,508;27,21
3516853;Gavião Peixoto;0,46;0,35;0,719;0,687;0,802;0,676;7,38
2204352;Geminiano;0,55;0,46;0,561;0,524;0,755;0,446;42,66
4308805;General Câmara;0,52;0,49;0,686;0,704;0,832;0,552;11,25
4108502;General Carneiro;0,54;0,48;0,652;0,638;0,816;0,532;20
5103908;General Carneiro;0,61;0,59;0,67;0,645;0,82;0,569;31,58
2802502;General Maynard;0,51;0,54;0,645;0,609;0,776;0,567;30,98
3516903;General Salgado;0,55;0,45;0,747;0,734;0,808;0,702;2,29
2304608;General Sampaio;0,62;0,51;0,568;0,548;0,744;0,449;43,35
4308854;Gentil;0,47;0,43;0,733;0,71;0,863;0,643;8,2
2911303;Gentio do Ouro;0,59;0,52;0,559;0,523;0,743;0,45;49,39
3517000;Getulina;0,55;0,45;0,717;0,696;0,813;0,652;6,15
4308904;Getúlio Vargas;0,52;0,45;0,746;0,747;0,843;0,658;3,68
2204402;Gilbués;0,67;0,68;0,548;0,574;0,753;0,38;53,13
2702900;Girau do Ponciano;0,6;0,58;0,536;0,498;0,762;0,405;59,05
4309001;Giruá;0,59;0,53;0,721;0,707;0,842;0,629;11,44
3127354;Glaucilândia;0,49;0,43;0,679;0,579;0,812;0,667;28,58
3517109;Glicério;0,52;0,52;0,735;0,735;0,858;0,63;5,82
2911402;Glória;0,61;0,51;0,593;0,563;0,775;0,479;38,55
5004007;Glória de Dourados;0,55;0,46;0,721;0,705;0,822;0,648;6,95
5103957;Glória D'Oeste;0,68;0,48;0,71;0,684;0,823;0,636;10,66
2606101;Glória do Goitá;0,52;0,52;0,604;0,57;0,765;0,506;40,22
4309050;Glorinha;0,52;0,41;0,714;0,716;0,859;0,593;4,97
2104305;Godofredo Viana;0,58;0,5;0,604;0,537;0,75;0,546;46,2
4108551;Godoy Moreira;0,6;0,44;0,675;0,642;0,828;0,578;15,25
3127370;Goiabeira;0,47;0,47;0,647;0,628;0,799;0,539;22,82
2606200;Goiana;0,56;0,54;0,651;0,614;0,779;0,576;30,42
3127388;Goianá;0,5;0,47;0,716;0,682;0,835;0,644;11,13
5208400;Goianápolis;0,45;0,52;0,703;0,678;0,825;0,62;17,18
5208509;Goiandira;0,51;0,43;0,76;0,711;0,849;0,727;4,63
5208608;Goianésia;0,53;0,47;0,727;0,719;0,84;0,636;4,61
1503093;Goianésia do Pará;0,6;0,54;0,56;0,585;0,743;0,404;35,6
5208707;Goiânia;0,61;0,58;0,799;0,824;0,838;0,739;3,09
2404200;Goianinha;0,61;0,55;0,638;0,619;0,783;0,537;29,09
5208806;Goianira;0,47;0,39;0,694;0,674;0,831;0,596;6,83
1708304;Goianorte;0,57;0,54;0,621;0,598;0,805;0,497;33,53
5208905;Goiás;0,52;0,52;0,709;0,713;0,805;0,621;10,28
1709005;Goiatins;0,73;0,61;0,576;0,541;0,765;0,462;53,72
5209101;Goiatuba;0,65;0,5;0,725;0,737;0,825;0,627;3,98
4108601;Goioerê;0,57;0,48;0,731;0,72;0,85;0,639;6,14
4108650;Goioxim;0,63;0,49;0,641;0,593;0,813;0,547;33,13
3127404;Gonçalves;0,49;0,45;0,683;0,671;0,833;0,57;10,76
